Entity,Code,Year,Mean age of women at first marriage
Australia,AUS,2001,26.9
Australia,AUS,2002,27.1
Australia,AUS,2003,27.3
Australia,AUS,2004,27.5
Australia,AUS,2005,27.6
Australia,AUS,2006,27.6
Australia,AUS,2007,27.6
Australia,AUS,2008,27.7
Australia,AUS,2009,27.7
Australia,AUS,2010,27.9
Australia,AUS,2011,28
Australia,AUS,2012,28.1
Australia,AUS,2013,28.3
Australia,AUS,2014,28.4
Australia,AUS,2015,28.5
Australia,AUS,2016,28.7
Australia,AUS,2017,28.8
Australia,AUS,2018,29.2
Australia,AUS,2019,29.3
Australia,AUS,2020,29.2
Austria,AUT,2001,27.5
Austria,AUT,2002,27.7
Austria,AUT,2003,27.9
Austria,AUT,2004,28.2
Austria,AUT,2005,28.6
Austria,AUT,2006,29.1
Austria,AUT,2007,29.3
Austria,AUT,2008,29.5
Austria,AUT,2009,29.9
Austria,AUT,2011,30.3
Austria,AUT,2012,30.6
Austria,AUT,2017,31.5
Austria,AUT,2018,31.7
Austria,AUT,2019,32
Belgium,BEL,2001,26.7
Belgium,BEL,2002,27
Belgium,BEL,2003,27.5
Belgium,BEL,2004,27.9
Belgium,BEL,2005,28.1
Belgium,BEL,2006,28.4
Belgium,BEL,2007,28.6
Belgium,BEL,2008,28.9
Belgium,BEL,2009,29.3
Belgium,BEL,2010,29.4
Belgium,BEL,2017,31.2
Belgium,BEL,2020,32
Bulgaria,BGR,2001,24.7
Bulgaria,BGR,2002,24.6
Bulgaria,BGR,2003,25
Bulgaria,BGR,2004,25.3
Bulgaria,BGR,2005,25.6
Bulgaria,BGR,2006,25.7
Bulgaria,BGR,2007,25.8
Bulgaria,BGR,2008,25.9
Bulgaria,BGR,2009,26.2
Bulgaria,BGR,2010,26.6
Bulgaria,BGR,2011,26.6
Bulgaria,BGR,2013,26.7
Bulgaria,BGR,2014,26.9
Bulgaria,BGR,2015,27
Bulgaria,BGR,2016,27.1
Bulgaria,BGR,2017,27.3
Bulgaria,BGR,2018,27.5
Bulgaria,BGR,2019,27.8
Bulgaria,BGR,2020,28.1
Canada,CAN,2001,27.7
Canada,CAN,2002,27.8
Canada,CAN,2003,28.2
Canada,CAN,2004,28.5
Canada,CAN,2005,28.7
Canada,CAN,2006,28.9
Canada,CAN,2007,29
Canada,CAN,2008,29.1
Canada,CAN,2016,28.7
Canada,CAN,2017,28.9
Chile,CHL,2001,25.942293
Chile,CHL,2002,26.318913
Chile,CHL,2003,26.575056
Chile,CHL,2004,26.804842
Chile,CHL,2005,27.306484
Chile,CHL,2006,27.38927
Chile,CHL,2007,27.740593
Chile,CHL,2008,28.08799
Chile,CHL,2009,29.004953
Chile,CHL,2010,29.9
Chile,CHL,2011,30.2
Chile,CHL,2012,30
Chile,CHL,2013,28.5
Chile,CHL,2014,29.7
Chile,CHL,2015,30.9
Chile,CHL,2016,31.5
Croatia,HRV,2001,25.4
Croatia,HRV,2002,25.6
Croatia,HRV,2003,25.8
Croatia,HRV,2004,26
Croatia,HRV,2005,26.2
Croatia,HRV,2006,26.3
Croatia,HRV,2007,26.6
Croatia,HRV,2008,26.6
Croatia,HRV,2009,26.9
Croatia,HRV,2010,27.1
Croatia,HRV,2011,27.3
Croatia,HRV,2012,27.3
Croatia,HRV,2013,27.6
Croatia,HRV,2014,27.8
Croatia,HRV,2015,27.9
Croatia,HRV,2016,28
Croatia,HRV,2017,28.2
Croatia,HRV,2018,28.3
Croatia,HRV,2019,28.5
Croatia,HRV,2020,28.7
Cyprus,CYP,2001,27.2
Cyprus,CYP,2002,27.3
Cyprus,CYP,2003,27.8
Cyprus,CYP,2004,27.3
Cyprus,CYP,2005,27.3
Cyprus,CYP,2006,27.7
Czechia,CZE,2001,25
Czechia,CZE,2002,25.4
Czechia,CZE,2003,25.8
Czechia,CZE,2004,26.1
Czechia,CZE,2005,26.4
